session_key,team_name,driver_count,driver_numbers
9149,Haas F1 Team,2,"20,27"
9149,AlphaTauri,2,"22,40"
9149,Alfa Romeo,2,"24,77"
9149,Mercedes,2,"44,63"
9157,Red Bull Racing,2,"1,11"
9157,Williams,2,"2,23"
9157,McLaren,2,"4,81"
9157,Alpine,2,"10,31"
9157,Aston Martin,2,"14,18"
9157,Ferrari,2,"16,55"
9157,Haas F1 Team,2,"20,27"
9157,AlphaTauri,2,"22,40"
9157,Alfa Romeo,2,"24,77"
9157,Mercedes,2,"44,63"
9165,Red Bull Racing,2,"1,11"
9165,Williams,2,"2,23"
9165,McLaren,2,"4,81"
9165,Alpine,2,"10,31"
9165,Aston Martin,1,14
9165,Ferrari,2,"16,55"
9165,Haas F1 Team,2,"20,27"
9165,AlphaTauri,2,"22,40"
9165,Alfa Romeo,2,"24,77"
9165,Mercedes,2,"44,63"
9173,Red Bull Racing,2,"1,11"
9173,Williams,2,"2,23"
9173,McLaren,2,"4,81"
9173,Alpine,2,"10,31"
9173,Aston Martin,2,"14,18"
9173,Ferrari,2,"16,55"
9173,Haas F1 Team,2,"20,27"
9173,AlphaTauri,2,"22,40"
9173,Alfa Romeo,2,"24,77"
9173,Mercedes,2,"44,63"
9220,Red Bull Racing,2,"1,11"
9220,Williams,2,"2,23"
9220,McLaren,2,"4,81"
9220,Alpine,2,"10,31"
9220,Aston Martin,2,"14,18"
9220,Ferrari,2,"16,55"
9220,Haas F1 Team,2,"20,27"
9220,AlphaTauri,2,"22,40"
9220,Alfa Romeo,2,"24,77"
9220,Mercedes,2,"44,63"
