date,session_key,meeting_key,driver_number,position
2023-03-05T15:03:46.844000+00:00,7953,1141,63,17
2023-03-05T15:03:46.844000+00:00,7953,1141,44,4
2023-03-05T15:03:46.844000+00:00,7953,1141,18,5
2023-03-05T15:03:46.844000+00:00,7953,1141,31,6
2023-03-05T15:03:46.844000+00:00,7953,1141,27,8
2023-03-05T15:03:46.844000+00:00,7953,1141,4,7
2023-03-05T15:03:46.844000+00:00,7953,1141,77,9
2023-03-05T15:03:46.844000+00:00,7953,1141,24,11
2023-03-05T15:03:46.844000+00:00,7953,1141,22,12
2023-03-05T15:03:46.844000+00:00,7953,1141,23,10
2023-03-05T15:03:46.844000+00:00,7953,1141,2,13
2023-03-05T15:03:46.844000+00:00,7953,1141,20,14
2023-03-05T15:03:46.875000+00:00,7953,1141,55,16
2023-03-05T15:03:46.875000+00:00,7953,1141,14,17
2023-03-05T15:03:46.875000+00:00,7953,1141,63,18
2023-03-05T15:03:46.875000+00:00,7953,1141,81,15
2023-03-05T15:03:46.906000+00:00,7953,1141,55,4
2023-03-05T15:03:46.906000+00:00,7953,1141,44,5
2023-03-05T15:03:46.906000+00:00,7953,1141,18,6
2023-03-05T15:03:46.906000+00:00,7953,1141,31,7
2023-03-05T15:03:46.906000+00:00,7953,1141,27,9
2023-03-05T15:03:46.906000+00:00,7953,1141,4,8
2023-03-05T15:03:46.906000+00:00,7953,1141,77,10
2023-03-05T15:03:46.906000+00:00,7953,1141,24,12
2023-03-05T15:03:46.906000+00:00,7953,1141,22,13
2023-03-05T15:03:46.906000+00:00,7953,1141,23,11
2023-03-05T15:03:46.906000+00:00,7953,1141,2,14
2023-03-05T15:03:46.906000+00:00,7953,1141,20,15
2023-03-05T15:03:46.906000+00:00,7953,1141,81,16
2023-03-05T15:03:47.219000+00:00,7953,1141,14,5
2023-03-05T15:03:47.219000+00:00,7953,1141,44,6
2023-03-05T15:03:47.219000+00:00,7953,1141,18,7
2023-03-05T15:03:47.219000+00:00,7953,1141,31,8
2023-03-05T15:03:47.219000+00:00,7953,1141,27,10
2023-03-05T15:03:47.219000+00:00,7953,1141,4,9
2023-03-05T15:03:47.219000+00:00,7953,1141,77,11
2023-03-05T15:03:47.219000+00:00,7953,1141,24,13
2023-03-05T15:03:47.219000+00:00,7953,1141,22,14
2023-03-05T15:03:47.219000+00:00,7953,1141,23,12
2023-03-05T15:03:47.219000+00:00,7953,1141,2,15
2023-03-05T15:03:47.219000+00:00,7953,1141,20,16
2023-03-05T15:03:47.219000+00:00,7953,1141,81,17
2023-03-05T15:03:47.312000+00:00,7953,1141,63,19
2023-03-05T15:03:47.312000+00:00,7953,1141,21,20
2023-03-05T15:03:47.312000+00:00,7953,1141,10,18
2023-03-05T15:03:47.328000+00:00,7953,1141,63,20
2023-03-05T15:03:47.328000+00:00,7953,1141,21,18
2023-03-05T15:03:47.328000+00:00,7953,1141,10,19
2023-03-05T15:03:47.609000+00:00,7953,1141,63,7
2023-03-05T15:03:47.609000+00:00,7953,1141,18,8
2023-03-05T15:03:47.609000+00:00,7953,1141,31,9
2023-03-05T15:03:47.609000+00:00,7953,1141,27,11
2023-03-05T15:03:47.609000+00:00,7953,1141,4,10
2023-03-05T15:03:47.609000+00:00,7953,1141,77,12
2023-03-05T15:03:47.609000+00:00,7953,1141,24,14
2023-03-05T15:03:47.609000+00:00,7953,1141,22,15
2023-03-05T15:03:47.609000+00:00,7953,1141,23,13
2023-03-05T15:03:47.609000+00:00,7953,1141,2,16
2023-03-05T15:03:47.609000+00:00,7953,1141,20,17
2023-03-05T15:03:47.609000+00:00,7953,1141,81,18
2023-03-05T15:03:47.609000+00:00,7953,1141,21,19
2023-03-05T15:03:47.609000+00:00,7953,1141,10,20
2023-03-05T15:03:47.781000+00:00,7953,1141,31,10
2023-03-05T15:03:47.781000+00:00,7953,1141,4,9
2023-03-05T15:03:50.015000+00:00,7953,1141,63,8
2023-03-05T15:03:50.015000+00:00,7953,1141,18,7
2023-03-05T15:03:50.234000+00:00,7953,1141,4,8
2023-03-05T15:03:50.234000+00:00,7953,1141,63,9
2023-03-05T15:03:50.750000+00:00,7953,1141,27,12
2023-03-05T15:03:50.750000+00:00,7953,1141,77,11
2023-03-05T15:03:50.797000+00:00,7953,1141,27,13
2023-03-05T15:03:50.797000+00:00,7953,1141,23,12
2023-03-05T15:03:51.843000+00:00,7953,1141,21,20
2023-03-05T15:03:51.843000+00:00,7953,1141,10,19
2023-03-05T15:03:55.312000+00:00,7953,1141,63,8
2023-03-05T15:03:55.312000+00:00,7953,1141,4,9
2023-03-05T15:03:55.765000+00:00,7953,1141,31,11
2023-03-05T15:03:55.765000+00:00,7953,1141,77,10
2023-03-05T15:03:56.187000+00:00,7953,1141,27,12
2023-03-05T15:03:56.187000+00:00,7953,1141,23,13
2023-03-05T15:03:56.609000+00:00,7953,1141,24,15
2023-03-05T15:03:56.609000+00:00,7953,1141,22,14
2023-03-05T15:03:56.671000+00:00,7953,1141,24,16
