session_key,driver_number,avg_race_pace,best_race_pace,pace_consistency,clean_laps_count
9102,10,80.92195384615385,78.375,3.7859118965530008,65
9102,63,80.3353076923077,77.875,3.4056661789723535,65
9102,24,80.92824615384616,78.753,3.7555552853022323,65
9102,21,81.11671874999999,78.594,3.5868222371498564,64
9102,20,81.637921875,78.069,4.431461521442088,64
9102,22,80.8848,78.904,3.500751063164874,65
9102,77,81.800359375,78.242,3.9747344180707747,64
9102,23,81.458953125,79.133,3.7998819882664763,64
9102,2,81.8018125,79.247,3.8484759707732423,64
9102,16,80.87029230769231,78.357,3.6539463927849507,65
9110,1,77.96686363636366,75.594,5.777153935676589,66
9110,14,78.24101515151517,75.779,6.088534408699745,66
9110,44,78.32034848484848,75.396,6.087119797616615,66
9110,27,79.97472307692307,77.232,6.493435756370844,65
9110,63,80.07796078431372,77.097,7.607671212561134,51
9110,31,79.15166666666669,76.782,6.1832671108486466,66
9110,4,79.33442424242426,76.374,6.622022296411609,66
9110,81,79.24560606060606,76.598,6.21013135220625,66
9110,23,79.27296969696971,76.917,6.243735760361854,66
9110,16,78.4324090909091,75.907,5.7902596141538165,66
9110,55,78.46295454545454,75.911,5.7789555708804174,66
9110,11,78.90778787878787,74.481,5.977694962274729,66
9110,20,79.48865625000002,76.126,5.673100919135008,64
9110,77,79.12627272727272,76.625,5.555743831790259,66
9110,10,78.98672307692307,76.425,5.027960015962277,65
9110,18,78.86650769230769,76.564,4.683330459336192,65
9110,21,81.12951515151516,76.656,9.221247411432135,66
9110,2,79.4078,78.437,0.877771439498914,5
9110,22,79.24095454545454,76.666,6.024322566273943,66
9110,24,79.83516923076922,77.09,6.586148131137688,65
9117,1,75.74304347826087,74.292,1.1737108006141308,23
9117,11,76.56621739130435,75.492,1.0315643441140416,23
9117,4,77.14230434782608,75.627,1.4619473449908136,23
9117,27,77.05147826086957,70.18,5.329187673639348,23
9117,55,76.6242608695652,75.457,1.0578139214862508,23
9117,24,78.3604347826087,71.305,6.01956504639879,23
9117,81,77.48021739130435,70.274,5.334314874270698,23
9117,14,76.87260869565218,74.978,1.336527581565225,23
9117,18,76.88373913043478,75.531,1.2113333081357958,23
9117,44,77.43973913043479,70.775,5.441180864626816,23
9117,77,78.44069565217391,76.758,1.50243037759681,23
9117,31,77.10665217391305,75.512,1.496823139145511,23
9117,2,78.1105652173913,71.829,5.888621051934029,23
9117,16,77.71017391304348,70.686,5.373406137063713,23
9117,20,77.90886956521739,70.539,5.69393936411457,23
9117,23,77.8236956521739,71.635,5.562474166924958,23
9117,10,77.85391304347824,76.109,1.6279153683899905,23
9117,22,78.19286956521739,71.363,5.3038804859730915,23
9117,21,78.1958695652174,71.701,5.664729940641059,23
9117,63,77.02600000000001,70.385,5.991868163678928,23
9118,1,70.82011764705882,67.012,4.831492435069282,68
9118,16,70.88748529411762,68.82,4.341505717525073,68
9118,44,70.84576119402986,69.16,3.136464048891112,67
9118,55,71.11804411764706,68.88,4.988974624509001,68
9118,18,71.64319117647058,68.463,5.096536975438375,68
9118,4,70.62667164179105,68.739,2.525866826236213,67
9118,24,72.64901470588234,69.786,5.934517414253582,68
9118,14,71.23186764705883,69.108,4.249144345487501,68
9118,2,72.49148529411765,69.611,6.2875680453696585,68
9118,23,71.26144776119405,69.56,3.1453002568217694,67
9118,27,73.777,71.066,5.440329746440007,9
9118,10,71.08229850746268,69.046,3.185050406408252,67
9118,63,70.93353731343284,69.283,2.575869363855089,67
9118,31,71.99159701492538,69.797,5.524407317887626,67
9118,81,72.4539104477612,69.862,5.697755979680078,67
9118,77,72.85017647058822,69.94,6.171861904756003,68
9118,11,71.0006911764706,68.111,4.240608402060072,68
9118,22,72.79014705882352,69.62,5.468447975580732,68
9118,20,72.91958823529411,70.176,4.9276739123168625,68
9118,21,72.6397794117647,69.852,5.393193194315551,68
9126,4,93.01371739130435,90.543,4.580874635860339,46
9126,1,92.64076086956523,90.275,4.003161912426408,46
9126,81,94.65070212765959,90.85,8.447056868248854,47
9126,16,94.84523404255319,91.255,8.273724573225685,47
9126,21,96.07622916666666,92.353,8.019820288323395,48
9126,20,94.33780000000002,93.356,0.6042133900284367,30
9126,55,95.91187500000001,91.366,10.120565514064323,48
9126,77,95.84604166666668,91.852,8.225991611850025,48
9126,63,95.66433333333335,91.124,10.263908422199156,48
9126,44,93.30515217391307,90.545,4.671867839490093,46
9126,23,94.75721276595745,91.273,7.847616118054913,47
9126,27,96.94416326530613,91.776,10.615535512765671,49
9126,14,94.70212765957449,91.338,7.946103802211667,47
9126,10,97.82785714285716,91.539,12.313296623373923,42
9126,31,94.229375,93.846,0.4473381391232886,8
9126,18,96.88455102040815,91.508,10.927764604554355,49
9126,11,95.68583333333333,90.914,9.623906101603563,48
9126,22,96.05785416666667,92.084,8.363348293620673,48
9126,2,96.86969387755101,91.699,10.020871012134462,49
9126,24,96.93640816326531,91.769,10.125149492555584,49
9133,16,84.96555072463768,82.469,3.628972827189177,69
9133,77,85.63933823529409,83.651,3.415861922697426,68
9133,11,84.53868115942029,82.295,3.2144429692760226,69
9133,14,85.09814492753623,82.745,3.533942696010665,69
9133,44,84.59752173913043,81.601,3.48965263570786,69
9133,55,85.04236231884059,82.584,3.299170439274511,69
9133,27,85.97563235294116,83.573,3.280932052249022,68
9133,1,84.0684347826087,80.504,3.3887071648876086,69
9133,4,84.52846376811594,82.178,3.0027493802479945,69
9133,24,86.06458823529411,83.743,4.053105907765182,68
9133,3,85.68785294117647,83.934,3.3672843314896497,68
9133,18,85.42858823529411,83.425,3.466408590239528,68
9133,81,84.96408695652174,82.736,3.1207209750460025,69
9133,23,85.60541176470588,84.051,3.233835411660629,68
9133,22,85.96098529411765,83.269,3.6078586591298336,68
9133,63,84.90488405797102,82.158,3.2974452924875037,69
9133,20,86.4000294117647,83.864,3.315222659596808,68
9133,2,86.23933333333332,83.496,4.0765942207957915,66
9140,1,123.141875,118.943,5.080648536709797,8
9140,81,122.148125,120.36,1.2487457064133254,8
9140,77,136.3894,123.595,21.906376429402165,10
9140,55,129.57955555555557,121.472,17.578931509843756,9
9140,20,137.9912,123.965,20.424960648948897,10
9140,16,131.69322222222223,122.635,16.625433308471827,9
9140,24,138.0036,124.76,19.725127760183344,10
9140,4,131.71588888888888,122.085,16.5313602241652,9
9140,10,129.47866666666667,121.857,18.230198757830372,9
